car_code,text
CAR001,Single Owner
CAR001,Well Maintained
CAR001,No Accident History
CAR001,Service Records Available
CAR001,All Original Parts
CAR002,Family Friendly
CAR002,Low Running
CAR002,Fuel Efficient
CAR002,City Driven
CAR002,Regular Service
CAR003,Single Owner
CAR003,Showroom Condition
CAR003,No Accident
CAR003,Full Service History
CAR003,Premium Features
CAR004,Well Maintained
CAR004,Low Mileage
CAR004,Fuel Efficient
CAR004,City Driven
CAR005,Single Owner
CAR005,Low Running
CAR005,Well Maintained
CAR005,No Accident
CAR006,Single Owner
CAR006,Well Maintained
CAR006,Full Service History
CAR006,Premium SUV
CAR007,Well Maintained
CAR007,Low Running
CAR007,City Driven
CAR007,Eco-Friendly Option
CAR008,Single Owner
CAR008,Showroom Condition
CAR008,No Accident
CAR008,Premium Features
CAR009,Well Maintained
CAR009,Low Mileage
CAR009,Spacious
CAR009,Fuel Efficient
CAR010,Single Owner
CAR010,Low Running
CAR010,Feature Rich
CAR010,Well Maintained
CAR011,Well Maintained
CAR011,7 Seater
CAR011,Spacious
CAR011,Family Friendly
CAR012,Single Owner
CAR012,Showroom Condition
CAR012,No Accident
CAR012,Premium German
CAR013,Well Maintained
CAR013,Low Mileage
CAR013,Stylish Design
CAR013,City Driven
CAR014,Single Owner
CAR014,Low Running
CAR014,Connected Features
CAR014,Well Maintained
CAR015,Well Maintained
CAR015,Reliable
CAR015,City Driven
CAR015,Low Running
CAR016,Single Owner
CAR016,Showroom Condition
CAR016,Safety Features
CAR016,Premium SUV
CAR017,Well Maintained
CAR017,Low Mileage
CAR017,Budget Friendly
CAR017,Fuel Efficient
CAR018,Single Owner
CAR018,Well Maintained
CAR018,Premium Sedan
CAR018,Full Service History
CAR019,Well Maintained
CAR019,Low Running
CAR019,Value for Money
CAR019,City Driven
CAR020,Single Owner
CAR020,Showroom Condition
CAR020,No Accident
CAR020,Luxury SUV
